Time,Channel A
(s),(V)

149.20030792,-0.00579852
149.23364132,-0.00579852
149.26697472,-0.00930815
149.30030813,-0.00595111
149.33364153,-0.00686667
149.36697493,-0.00946074
149.40030833,-0.00503555
149.43364174,-0.00534074
149.46697514,-0.00930815
149.50030854,-0.00549333
149.53364194,-0.00595111
149.56697534,-0.00900296
149.60030875,-0.00457778
149.63364215,-0.00534074
149.66697555,-0.00839259
149.70030895,-0.00518815
149.73364235,-0.00534074
149.76697576,-0.00900296
149.80030916,-0.00381481
149.83364256,-0.00549333
149.86697596,-0.00808741
149.90030937,-0.00412000
149.93364277,-0.00427259
149.96697617,-0.00778222
150.00030957,-0.00289926
150.03364297,-0.00442518
150.06697638,-0.00595111
150.10030978,-0.00228889
150.13364318,-0.00289926
150.16697658,-0.00564592
150.20030998,-0.00152593
150.23364339,-0.00259407
150.26697679,-0.00518815
150.30031019,-0.00091556
150.33364359,-0.00274667
150.36697700,-0.00686667
150.40031040,-0.00061037
150.43364380,-0.00274667
150.46697720,-0.00442518
150.50031060,0.00091556
150.53364401,-0.00152593
150.56697741,-0.00396741
150.60031081,0.00030519
150.63364421,-0.00030519
150.66697761,-0.00335704
150.70031102,0.00183111
150.73364442,0.00030519
150.76697782,-0.00305185
150.80031122,0.00244148
150.83364462,0.00045778
150.86697803,-0.00274667
150.90031143,0.00259407
150.93364483,0.00198370
150.96697823,-0.00167852
151.00031164,0.00366222
151.03364504,0.00167852
151.06697844,-0.00076296
151.10031184,0.00457778
151.13364524,0.00167852
151.16697865,0.00000000
151.20031205,0.00442518
151.23364545,0.00259407
151.26697885,0.00122074
151.30031225,0.00518815
151.33364566,0.00335704
151.36697906,0.00061037
151.40031246,0.00518815
151.43364586,0.00305185
151.46697927,0.00137333
151.50031267,0.00549333
151.53364607,0.00427259
151.56697947,0.00167852
151.60031287,0.00701926
151.63364628,0.00534074
151.66697968,0.00259407
151.70031308,0.00656148
151.73364648,0.00320444
151.76697988,0.00320444
151.80031329,0.00686667
151.83364669,0.00442518
151.86698009,0.00320444
151.90031349,0.00762963
151.93364689,0.00381481
151.96698030,0.00289926
152.00031370,0.00778222
152.03364710,0.00518815
152.06698050,0.00366222
152.10031391,0.00869778
152.13364731,0.00686667
152.16698071,0.00396741
152.20031411,0.00869778
152.23364751,0.00564592
152.26698092,0.00381481
152.30031432,0.00885037
152.33364772,0.00534074
152.36698112,0.00427259
152.40031452,0.00915555
152.43364793,0.00640889
152.46698133,0.00564592
152.50031473,0.00854518
152.53364813,0.00671407
152.56698154,0.00610370
152.60031494,0.00930815
152.63364834,0.00564592
152.66698174,0.00457778
152.70031514,0.00991852
152.73364855,0.00686667
152.76698195,0.00518815
152.80031535,0.00930815
152.83364875,0.00640889
